case_id,fake_RECEIVED_count,real_hops,smtp_code,postfix1_result,postfix2_result,postfix3_result,final_received_count,queue_status
RD046,46,3,250,accept;relay=sent,accept;relay=sent,accept;relay=sent,4,delivered
RD047,47,3,250,accept;relay=sent,accept;relay=bounced,rejected_hopcount_exceeded,,bounced_not_delivered
